time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0, 0.003457032, 0.03032837, 0.9973709, 0.3098537, 1.740756, 0.9143414, 20.6
0.019953, -0.002890624, 0.04472778, 1.001016, 1.559854, 1.862707, -1.585659, 20.50588
0.039946, -0.0165625, 0.0476355, 0.9784286, 2.535463, 0.978561, -3.018585, 20.6
0.059938, -0.02144531, 0.07296265, 0.9721026, 0.5232683, 2.076122, -2.103951, 20.6
0.079938, -0.03194336, 0.06517822, 0.9794026, -1.58039, 2.594415, 0.8838537, 20.6
0.099936, -0.03633789, 0.03058532, 1.006388, -0.1474634, 1.039537, 1.615561, 20.6
0.119935, -0.01631836, 0.02962219, 1.012967, 2.017171, 1.83222, 2.011902, 20.6
0.139937, 0.006875001, 0.007201538, 1.006868, 4.852537, 0.826122, -1.982, 20.55294
0.159936, 0.01126953, 0.03959351, 1.009346, 4.364732, 0.6127074, -4.116146, 20.6
0.179938, 0.009560548, 0.05736755, 0.996692, 1.254976, 1.862707, -2.713707, 20.55294
0.200124, -0.005576171, 0.05491699, 1.000054, -2.677951, 3.204171, -0.3966341, 20.6
0.219948, -0.03707031, 0.04884216, 1.00175, -3.287708, 3.173683, 2.133854, 20.64706
0.239934, -0.03877929, 0.04422607, 1.014171, -2.373073, 3.783439, 2.896049, 20.55294
0.259934, -0.0334082, 0.02523133, 1.011003, 0.8586341, 2.594415, -0.03078049, 20.64706
0.279938, -0.05147461, 0.04229065, 1.004428, 1.011073, 0.7041708, -0.9149269, 20.6
0.29994, -0.02144531, 0.04641724, 1.0083, -0.4218536, 1.009049, -0.3356586, 20.69412
0.319936, -0.02461914, 0.05201965, 0.9966652, -1.062098, 2.228561, 0.4875122, 20.69412
0.339936, -0.01460937, 0.04397034, 0.9896502, -1.641366, 2.868805, 1.280195, 20.6
0.359936, -0.03633789, 0.02400879, 0.9896247, 0.3708293, 1.984659, 1.432634, 20.6
0.379935, -0.03414062, 0.0315509, 0.9866796, 3.053756, 1.313927, 0.670439, 20.6
0.399965, -0.04097656, 0.06249512, 0.9770084, 2.71839, 1.649293, 0.09117073, 20.69412
0.419944, -0.05147461, 0.06834351, 0.9835836, 0.8891219, 0.7956342, 0.2436098, 20.55294
0.439936, -0.04634766, 0.0693042, 0.9869379, -1.793805, 0.7041708, 0.8838537, 20.55294
0.459936, -0.04268555, 0.04543823, 0.9922987, -2.434049, -0.728756, 1.188732, 20.55294
0.479936, -0.02950195, 0.02814514, 0.9983665, -0.02551222, 1.009049, 2.255805, 20.64706
0.499935, -0.01802734, 0.03471985, 1.004704, 3.023268, 2.198073, 1.859464, 20.64706
0.519934, -0.02657226, 0.05979004, 1.002734, 2.322049, 0.3688049, -0.2441951, 20.64706
0.539934, -0.02925781, 0.07758606, 0.9765176, -1.427951, 0.6127074, 0.2131219, 20.6
0.559939, -0.03487304, 0.0692981, 0.9918283, -3.806, 0.7956342, 1.097268, 20.6
0.579938, -0.04195313, 0.04883789, 1.00492, -3.348683, -0.8507072, 1.463122, 20.6
0.599985, -0.03951172, 0.03715271, 1.005453, 0.2793658, -0.5763171, 1.066781, 20.6
0.619952, -0.01290039, 0.04664551, 1.006072, 1.437902, 0.4602683, -0.3966341, 20.69412
0.639939, -0.01387695, 0.049823, 1.019487, 0.096439, 0.7651464, -0.6405365, 20.6
0.659938, -0.0231543, 0.04884705, 1.002748, -1.641366, 0.2773415, -0.09175611, 20.69412
0.679938, -0.02486328, 0.04787598, 1.000317, -2.037707, -0.119, -0.6710244, 20.64706
0.69994, -0.03121094, 0.06029175, 0.9857044, -2.037707, 0.06392682, -1.250293, 20.64706
0.71994, -0.04219727, 0.0561554, 0.9893678, -1.275512, -0.05802441, -1.250293, 20.64706
0.739933, -0.03926758, 0.03130493, 1.013494, -1.245024, 0.1858781, -0.1527317, 20.64706
0.759931, -0.03560547, 0.03473694, 1.00639, -0.7572196, 0.9175854, 0.518, 20.64706
0.779937, -0.03829101, 0.03839111, 0.9991322, -0.1779512, 0.7956342, 0.7314147, 20.55294
0.799979, -0.04439453, 0.04080566, 0.9869545, 0.7061951, 0.8566098, 2.621659, 20.64706
0.819955, -0.024375, 0.05835022, 0.9852608, -0.5742927, 1.40539, 1.920439, 20.69412
0.839941, -0.02828125, 0.04544067, 0.9918309, -0.7572196, -0.05802441, 0.4875122, 20.6
0.8599339, -0.01460937, 0.04518616, 0.9949473, -1.092585, -0.8507072, -0.8234634, 20.6
0.8799399, -0.03243164, 0.04397888, 0.9966245, -1.306, -0.4238781, -0.09175611, 20.50588
0.899934, -0.03511719, 0.04033997, 0.999848, -0.4828293, 0.6431952, 2.194829, 20.6
0.91994, -0.04219727, 0.0400647, 1.003495, -1.153561, 0.6736829, 3.383854, 20.50588
0.939933, -0.02583984, 0.04107544, 1.009753, -1.793805, 0.1553903, 1.49361, 20.55294
0.959937, -0.03389648, 0.0315564, 1.003901, -0.9096586, -1.734854, -0.732, 20.64706
0.979936, -0.03072265, 0.02861938, 1.001004, -1.03161, 0.2468537, 1.036293, 20.64706
1.000097, -0.02852539, 0.03131226, 1.013153, -1.427951, 1.740756, 2.133854, 20.6
1.019948, -0.0268164, 0.02669495, 1.021267, 1.651317, 1.313927, -1.158829, 20.55294
1.039938, -0.02510742, 0.04520508, 0.9956517, 2.16961, 0.7956342, -1.677122, 20.64706
1.059942, -0.03536133, 0.05372863, 0.9905617, 0.5232683, 0.7956342, 1.49361, 20.6
1.079936, -0.03194336, 0.05176575, 1.003425, -0.7267318, 2.076122, 3.170439, 20.6
1.099933, -0.02291016, 0.05103881, 1.004905, -1.275512, 0.7956342, -0.06126827, 20.69412
1.119935, -0.02852539, 0.04982605, 0.9934468, -0.7877073, 0.002951264, -1.738098, 20.6
1.139938, -0.0346289, 0.04179016, 0.9930107, -0.6657561, -0.4848536, -0.884439, 20.6
1.15994, -0.03389648, 0.03935791, 0.9983271, 0.1879025, 1.161488, 1.310683, 20.64706
1.179929, -0.0412207, 0.04860535, 1.003216, -1.214537, 1.67978, 1.889951, 20.6
1.204029, -0.0346289, 0.0366925, 0.996154, -1.732829, 1.923683, 1.005805, 20.74118
1.21995, -0.03072265, 0.0271698, 1.000069, -1.519415, 2.10661, 1.066781, 20.64706
1.239935, -0.04, 0.03838623, 0.9937012, -1.336488, 1.588317, 1.219219, 20.55294
1.25994, -0.03804687, 0.03472778, 0.9918283, -0.9401464, 1.100512, 0.2740976, 20.6
1.279937, -0.04048828, 0.03277161, 0.9922682, -1.123073, 0.1249025, -0.6710244, 20.55294
1.29994, -0.0490332, 0.02962952, 0.9925774, 0.4318049, 0.7346586, -0.7015122, 20.6
1.319938, -0.05123047, 0.0296228, 0.9830597, 0.7061951, 0.2468537, 0.8228781, 20.69412
1.339932, -0.06124023, 0.03863342, 0.9845169, 0.8281464, -0.1494877, 2.286293, 20.6
1.359932, -0.04805664, 0.05033142, 0.9891249, 0.5232683, 0.3078293, 2.835073, 20.6
1.379938, -0.03951172, 0.05445557, 0.9827785, 0.4013171, 0.1858781, 1.463122, 20.6
1.404279, -0.03682617, 0.05834167, 0.9952246, -0.208439, -0.6982683, 0.2740976, 20.64706
1.41995, -0.04341797, 0.05396301, 1.001523, -1.458439, -1.216561, 0.3350732, 20.64706
1.439938, -0.03291992, 0.03838501, 1.006831, -1.427951, -1.612902, 1.127756, 20.6
1.459939, -0.02632812, 0.03522277, 1.003187, 0.3403414, 0.3078293, 1.768, 20.64706
1.479936, -0.02974609, 0.04423218, 1.005364, -0.1169757, 0.3992927, 0.9143414, 20.64706
1.499937, -0.01924805, 0.04130127, 1.012666, 0.3098537, 0.9175854, 0.1521463, 20.64706
1.519938, -0.0268164, 0.05613525, 1.008086, -1.458439, 0.2773415, -0.3051707, 20.64706
1.539933, -0.03829101, 0.05811401, 0.9883759, -2.83039, -0.2409512, -0.3051707, 20.64706
1.559935, -0.04756836, 0.04324768, 0.9906089, -2.556, -0.05802441, 0.2436098, 20.69412
1.579934, -0.04, 0.0345105, 0.9949652, -0.1474634, 0.1249025, -0.03078049, 20.6
1.604489, -0.04, 0.02644348, 1.002996, 1.011073, -0.08851218, 0.5484878, 20.64706
1.619951, -0.02803711, 0.03129761, 1.005632, 0.5842439, 0.3383171, 1.249707, 20.50588
1.63994, -0.0334082, 0.0452063, 1.004442, -0.4828293, -0.3019269, 0.7923903, 20.69412
1.659939, -0.02730469, 0.04372498, 1.000738, -1.184049, 0.2773415, 0.7923903, 20.69412
1.67994, -0.02876953, 0.05299011, 0.9898981, -0.9706343, 0.826122, 1.371659, 20.6
1.699936, -0.02632812, 0.04934387, 0.9937126, -1.519415, 1.131, 0.7923903, 20.6
1.71994, -0.02754883, 0.03374207, 1.001042, -2.251122, -0.2409512, -0.9454146, 20.6
1.739931, -0.03023437, 0.0235199, 1.009806, -0.5742927, 0.3992927, -0.9454146, 20.55294
1.759932, -0.0321875, 0.02790833, 0.987384, 0.3098537, 1.039537, -0.3356586, 20.64706
1.779936, -0.03951172, 0.02765259, 0.9886328, 1.041561, 0.9480732, -0.4271219, 20.64706
1.804669, -0.04732422, 0.04835571, 0.9879335, -0.4218536, -0.4848536, -0.8539513, 20.64706
1.819942, -0.04708008, 0.04301147, 0.988854, -2.647464, -0.8202195, -0.6710244, 20.6
1.839939, -0.04537109, 0.01963623, 1.014936, -2.159659, -0.8507072, 0.8838537, 20.6
1.859942, -0.03047851, 0.007938232, 1.001216, 0.8281464, -0.02753651, 1.127756, 20.69412
1.879938, -0.02095703, 0.01692932, 1.004602, 2.017171, -0.02753651, -0.03078049, 20.69412
1.899936, -0.02608398, 0.04250549, 1.005192, 0.6147317, 0.09441471, 0.1521463, 20.64706
1.91994, -0.03487304, 0.05614868, 0.995442, -2.00722, 0.3078293, -0.3051707, 20.6
1.939936, -0.03096679, 0.03691528, 1.010777, -4.385268, 0.9175854, -0.3051707, 20.69412
1.959938, -0.04048828, 0.0179187, 1.001468, -1.793805, 0.3992927, 0.1521463, 20.55294
1.979936, -0.03023437, 0.01450745, 1.012234, -0.2694147, 2.076122, 1.49361, 20.55294
2.004802, -0.02706054, 0.007918701, 1.019997, 0.096439, 1.070024, -0.1832195, 20.6
2.019955, -0.03755859, 0.01669006, 1.012239, -0.02551222, 0.4297805, -0.579561, 20.6
2.03994, -0.03877929, 0.02814026, 0.9808318, 0.06595123, 0.7346586, 0.3350732, 20.55294
2.059936, -0.04683594, 0.03422424, 0.990099, -0.08648777, 0.8870975, 1.188732, 20.64706
2.079937, -0.04146484, 0.03984558, 0.9791597, 0.8281464, 0.4907561, 0.6399512, 20.6
2.099938, -0.05269531, 0.04910034, 0.987632, -0.4523415, 0.1249025, 0.7009268, 20.69412
2.119941, -0.04341797, 0.03373108, 0.9947453, -1.610878, -0.3019269, 0.518, 20.6
2.139934, -0.03902344, 0.03060608, 0.9924893, -1.366976, 0.2468537, 0.2740976, 20.6
2.159935, -0.03096679, 0.02864075, 0.9967022, -0.3303902, 0.1553903, 0.03019512, 20.6
2.179938, -0.04537109, 0.04031982, 0.9903277, 0.1574147, 0.3383171, 1.066781, 20.6
2.204965, -0.03267578, 0.04690796, 0.995442, -1.610878, 1.009049, 1.585073, 20.6
2.219952, -0.03658203, 0.04008728, 1.006656, -3.226732, 0.7346586, 0.5484878, 20.55294
2.239938, -0.03560547, 0.03277527, 0.9980957, -3.165756, -0.2409512, -1.250293, 20.64706
2.259937, -0.04317383, 0.02427429, 0.9983143, -1.275512, -0.6372926, -0.8234634, 20.64706
2.279936, -0.04146484, 0.02766785, 0.9950098, 0.248878, 0.3992927, 1.249707, 20.55294
2.299938, -0.03780273, 0.03009888, 0.9951788, -0.5438049, 0.6431952, 1.49361, 20.64706
2.319937, -0.04170898, 0.01839966, 1.014893, -0.6352683, -0.3933902, -0.732, 20.64706
2.339933, -0.0346289, 0.02936462, 1.006391, -0.7572196, -0.2104634, -0.7929757, 20.55294
2.359935, -0.03267578, 0.02473511, 0.9939453, -0.5133171, 0.7956342, -0.06126827, 20.64706
2.37994, -0.04488281, 0.02329163, 1.001507, -0.6047806, 0.6431952, 0.6094635, 20.6
2.40514, -0.04561523, 0.03232239, 0.9995414, -1.001122, 0.5822196, 0.2131219, 20.55294
2.419954, -0.04683594, 0.014505, 0.9942608, -1.062098, -0.1494877, -0.732, 20.6
2.439938, -0.04585938, 0.02060242, 0.988156, 0.4622927, -0.7897317, -0.6405365, 20.6
2.459935, -0.05049805, 0.03766174, 0.9847763, 0.1269268, -0.4848536, 0.7009268, 20.64706
