time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0, 0.002441406, -0.01586914, 0.8242188, 35.2439, -7.378049, 14.66463, 20.6
0.009948, -0.0078125, -0.01586914, 0.8242188, -2.408537, -1.25, 1.676829, 20.50588
0.01994, -0.03173828, -0.01074219, 0.8503418, -2.347561, -0.9756098, 1.341463, 20.69412
0.02993, -0.01342773, 0.004882813, 0.8063965, -0.4878049, -0.8231708, 1.310976, 20.50588
0.039927, -0.01416016, 0.002441406, 0.7849121, 1.25, -0.9146341, 1.463415, 20.50588
0.049936, -0.01342773, -0.004882813, 0.7854004, 0.8231708, 0.152439, 1.798781, 20.6
0.05993, -0.03271484, 0.01074219, 0.8225098, 0.8231708, 0.3658537, 1.615854, 20.6
0.06993199, -0.0324707, 0.002197266, 0.8266602, 1.646341, -0.09146341, 1.493902, 20.6
0.079934, -0.01855469, 0.001220703, 0.8237305, 1.920732, -0.1829268, 1.128049, 20.50588
0.089934, -0.03051758, 0.01464844, 0.8210449, 1.615854, -0.0304878, 0.4878049, 20.55294
0.105249, -0.02856445, 0.004638672, 0.8212891, 2.103659, 0.2134146, 0.09146341, 20.55294
0.114804, -0.03344727, 0.01245117, 0.8208008, 2.317073, 0.3353659, -0.304878, 20.6
0.124171, -0.02294922, 0.01025391, 0.8178711, 2.22561, 0.5182927, -0.2439024, 20.64706
0.133572, -0.02319336, 0.01464844, 0.8205566, 1.798781, 0.5182927, -0.5487805, 20.6
0.142951, -0.02539063, 0.008300781, 0.815918, 1.737805, 0.304878, -0.4268293, 20.69412
0.152351, -0.03100586, 0.003417969, 0.833252, 1.615854, 0.3353659, -0.5487805, 20.64706
0.161717, -0.02929688, 0.01000977, 0.8430176, 1.646341, 0.4268293, -0.4878049, 20.50588
0.171128, -0.02612305, 0.009277344, 0.8190918, 1.067073, -0.06097561, -0.3963415, 20.64706
0.180456, -0.03662109, 0.01586914, 0.8242188, 0.3963415, -0.4268293, -0.5487805, 20.64706
0.189931, -0.02661133, 0.01196289, 0.8261719, -0.3353659, -0.9146341, -0.4268293, 20.6
0.204989, -0.02246094, 0.01098633, 0.824707, -1.371951, -1.615854, -0.4878049, 20.64706
0.214498, -0.02734375, 0.01196289, 0.807373, -1.280488, -1.280488, -0.4878049, 20.64706
0.223898, -0.015625, 0.006835938, 0.826416, -1.493902, -1.219512, -0.4573171, 20.69412
0.233328, -0.02880859, 0.008789063, 0.8237305, -1.280488, -1.25, -0.7317073, 20.6
0.242751, -0.02734375, 0.009033203, 0.8220215, -1.554878, -1.432927, -0.5792683, 20.6
0.2521, -0.02539063, 0.01049805, 0.8208008, -1.798781, -1.554878, -0.5792683, 20.69412
0.261514, -0.02368164, 0.0144043, 0.8259277, -1.981707, -1.798781, -0.4878049, 20.64706
0.27087, -0.02661133, 0.006347656, 0.8200684, -1.890244, -1.646341, -0.5182927, 20.6
0.280245, -0.02075195, 0.01489258, 0.8066406, -1.737805, -1.128049, -0.5182927, 20.64706
0.289931, -0.01708984, 0.008300781, 0.807373, -0.7012195, -0.6707317, -0.5182927, 20.69412
0.305132, -0.01928711, 0.01123047, 0.8134766, 0.4268293, 0.1829268, -0.3353659, 20.64706
