time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0, -0.05566406, 0.008544922, 0.8234863, 37.16464, -6.310976, 13.23171, 20.55294
0.009941, -0.04467773, 0.01293945, 0.8239746, -1.310976, -1.219512, -0.3658537, 20.55294
0.019933, -0.0480957, 0.01196289, 0.815918, -1.25, -1.158537, -0.7317073, 20.45882
0.029929, -0.05224609, 0.01245117, 0.8112793, -1.310976, -0.8536586, -0.4573171, 20.55294
0.039922, -0.05126953, 0.01049805, 0.8227539, -1.067073, -1.006098, -0.7317073, 20.55294
0.049929, -0.04589844, 0.009521484, 0.8190918, -1.189024, -1.128049, -0.7317073, 20.6
0.059924, -0.05664063, 0.01269531, 0.8188477, -1.128049, -1.006098, -0.5182927, 20.55294
0.069928, -0.04174805, 0.007568359, 0.8171387, -1.067073, -1.036585, -0.6402439, 20.55294
0.07993, -0.04980469, 0.008300781, 0.8161621, -1.219512, -1.158537, -0.5792683, 20.55294
0.089929, -0.0480957, 0.005859375, 0.8134766, -1.189024, -1.128049, -0.6402439, 20.6
0.105273, -0.04443359, 0.009765625, 0.8215332, -1.25, -1.189024, -0.4268293, 20.50588
0.11484, -0.05053711, 0.009033203, 0.8134766, -1.310976, -0.9756098, -0.5182927, 20.55294
0.124276, -0.04711914, 0.01123047, 0.8225098, -1.280488, -0.8841463, -0.6707317, 20.55294
0.133716, -0.05151367, 0.009521484, 0.8151855, -1.158537, -1.097561, -0.4573171, 20.6
0.143082, -0.05297852, 0.006103516, 0.8129883, -1.158537, -1.219512, -0.5487805, 20.6
0.152517, -0.04516602, 0.01074219, 0.8085938, -1.097561, -1.006098, -0.3963415, 20.55294
0.161917, -0.04174805, 0.007568359, 0.8225098, -1.006098, -1.219512, -0.5182927, 20.45882
0.171351, -0.05297852, 0.005615234, 0.8173828, -1.25, -1.006098, -0.4573171, 20.6
0.180718, -0.04467773, 0.009521484, 0.8105469, -1.189024, -1.128049, -0.5487805, 20.55294
0.19009, -0.04858398, 0.0078125, 0.8112793, -1.097561, -1.219512, -0.5487805, 20.6
0.205141, -0.04321289, 0.01123047, 0.8125, -1.25, -1.036585, -0.6097561, 20.55294
0.214651, -0.04492188, 0.01000977, 0.8166504, -1.189024, -1.158537, -0.6097561, 20.55294
0.224071, -0.04858398, 0.01074219, 0.8137207, -1.128049, -1.219512, -0.3963415, 20.64706
0.233503, -0.04785156, 0.009765625, 0.8164063, -1.158537, -1.280488, -0.4878049, 20.69412
0.242928, -0.0534668, 0.01171875, 0.8151855, -1.158537, -1.25, -0.4878049, 20.55294
0.252308, -0.05004883, 0.01293945, 0.8225098, -1.128049, -1.097561, -0.4573171, 20.6
0.261715, -0.04907227, 0.01123047, 0.8178711, -1.128049, -1.219512, -0.5487805, 20.64706
0.271102, -0.0559082, 0.009521484, 0.817627, -1.158537, -0.9756098, -0.3963415, 20.55294
0.280499, -0.04638672, 0.001953125, 0.814209, -1.128049, -0.8841463, -0.7317073, 20.6
0.289926, -0.0480957, 0.01171875, 0.8210449, -1.219512, -1.158537, -0.6097561, 20.69412
0.305154, -0.04785156, 0.005126953, 0.8210449, -1.280488, -1.036585, -0.5182927, 20.64706
0.314705, -0.05053711, 0.01293945, 0.8200684, -1.158537, -1.097561, -0.6402439, 20.6
0.324099, -0.04516602, 0.01000977, 0.8181152, -1.25, -1.189024, -0.5182927, 20.55294
0.33353, -0.04394531, 0.01269531, 0.8134766, -1.280488, -1.371951, -0.5792683, 20.64706
0.342947, -0.0480957, 0.007568359, 0.8110352, -1.310976, -1.158537, -0.4878049, 20.69412
0.352309, -0.04956055, 0.01049805, 0.8227539, -1.25, -1.25, -0.5182927, 20.64706
0.361651, -0.05175781, 0.001220703, 0.8085938, -1.25, -1.097561, -0.5487805, 20.69412
0.371061, -0.05273438, 0.01147461, 0.8203125, -1.402439, -1.189024, -0.6707317, 20.64706
0.380422, -0.04785156, 0.01293945, 0.8125, -1.189024, -1.219512, -0.4878049, 20.69412
0.389928, -0.05102539, 0.007080078, 0.8239746, -1.280488, -1.280488, -0.5487805, 20.6
0.405236, -0.04541016, 0.009277344, 0.8200684, -1.25, -1.219512, -0.4573171, 20.6
0.414813, -0.05297852, 0.01220703, 0.8161621, -1.158537, -1.006098, -0.5487805, 20.69412
0.424218, -0.04858398, 0.01049805, 0.814209, -1.128049, -0.9756098, -0.3658537, 20.74118
0.433648, -0.04663086, 0.01318359, 0.8166504, -1.310976, -1.067073, -0.5182927, 20.69412
0.443034, -0.04980469, 0.008789063, 0.8254395, -1.189024, -1.067073, -0.5792683, 20.64706
0.452416, -0.04541016, 0.006347656, 0.8234863, -1.402439, -1.097561, -0.4878049, 20.64706
0.461824, -0.04443359, 0.01049805, 0.8164063, -1.189024, -1.158537, -0.4573171, 20.69412
0.471242, -0.05004883, 0.01098633, 0.8178711, -1.189024, -1.189024, -0.5487805, 20.55294
0.480591, -0.04663086, 0.009277344, 0.8134766, -1.371951, -1.341463, -0.5792683, 20.64706
0.489954, -0.04296875, 0.01123047, 0.8085938, -1.280488, -1.25, -0.4878049, 20.64706
0.505399, -0.04785156, 0.01245117, 0.814209, -1.463415, -1.341463, -0.6097561, 20.6
0.514938, -0.05151367, 0.01049805, 0.8178711, -1.341463, -1.371951, -0.6097561, 20.69412
0.524437, -0.04956055, 0.008544922, 0.8171387, -1.310976, -1.25, -0.4268293, 20.64706
0.533838, -0.04492188, 0.008056641, 0.8144531, -1.463415, -1.067073, -0.4878049, 20.74118
0.543259, -0.04833984, 0.008056641, 0.8171387, -1.280488, -1.280488, -0.4878049, 20.6
0.552648, -0.04638672, 0.006591797, 0.8017578, -1.341463, -1.097561, -0.3353659, 20.64706
0.56206, -0.05297852, 0.01049805, 0.8063965, -1.219512, -1.097561, -0.4268293, 20.64706
0.57146, -0.04833984, 0.007080078, 0.8066406, -0.9756098, -1.067073, -0.6707317, 20.69412
0.580865, -0.04638672, 0.01318359, 0.8222656, -1.280488, -1.128049, -0.6097561, 20.64706
0.590249, -0.05004883, 0.0078125, 0.8166504, -1.463415, -1.189024, -0.5182927, 20.6
0.609659, -0.04858398, 0.01464844, 0.8513184, -0.9146341, -1.371951, -0.5487805, 20.78824
0.619133, -0.05517578, 0.008300781, 0.840332, -2.012195, -1.920732, -0.6707317, 20.69412
0.628555, -0.04907227, 0.008544922, 0.8056641, -2.347561, -0.9756098, -0.7317073, 20.78824
0.637987, -0.05126953, 0.02319336, 0.8195801, -7.560976, -1.554878, -0.7317073, 20.64706
0.647373, -0.0390625, 0.0078125, 0.8076172, -6.646342, -1.371951, -0.6707317, 20.69412
0.656904, -0.04541016, 0.02026367, 0.8522949, -7.408537, -1.829268, -0.7926829, 20.69412
0.666332, -0.03857422, -0.008544922, 0.795166, -3.993902, -1.371951, -0.7621951, 20.64706
0.675732, -0.05224609, 0.00390625, 0.8198242, -3.445122, -1.128049, -0.5487805, 20.64706
0.68512, -0.05566406, -0.003173828, 0.8203125, -1.493902, -0.8841463, -0.4878049, 20.78824
0.694527, -0.05224609, 0.004882813, 0.8178711, -1.219512, -1.067073, -0.6097561, 20.64706
0.714177, -0.05175781, -0.001708984, 0.8198242, -1.189024, -1.067073, -0.4268293, 20.69412
0.723747, -0.04345703, 0.003662109, 0.822998, -1.341463, -1.128049, -0.5792683, 20.64706
0.733095, -0.04858398, 0.002685547, 0.8166504, -1.310976, -1.128049, -0.5182927, 20.69412
0.742473, -0.04956055, 0.007324219, 0.817627, -1.097561, -1.280488, -0.5792683, 20.64706
0.75187, -0.0480957, 0.003662109, 0.8171387, -1.067073, -1.067073, -0.5182927, 20.64706
0.761307, -0.04736328, 0.009033203, 0.8225098, -1.219512, -1.25, -0.3353659, 20.69412
0.77067, -0.04589844, 0.004638672, 0.8161621, -1.25, -1.097561, -0.6097561, 20.64706
0.780028, -0.0456543, -0.002685547, 0.8193359, -1.25, -1.158537, -0.6097561, 20.69412
0.789374, -0.05029297, 0.009765625, 0.8115234, -1.432927, -1.25, -0.4878049, 20.64706
0.798766, -0.04785156, 0.004150391, 0.817627, -1.067073, -1.067073, -0.6097561, 20.6
0.818625, -0.04711914, 0.01123047, 0.8166504, -1.158537, -1.097561, -0.4878049, 20.78824
0.828118, -0.04638672, 0.003417969, 0.8105469, -1.097561, -1.097561, -0.5487805, 20.64706
0.83754, -0.05273438, 0.006591797, 0.8129883, -1.097561, -1.128049, -0.4573171, 20.74118
0.8469521, -0.04443359, 0.004882813, 0.8193359, -1.158537, -1.189024, -0.4878049, 20.78824
0.8564, -0.04785156, 0.0004882813, 0.8171387, -1.158537, -1.067073, -0.3658537, 20.69412
0.865771, -0.04248047, 0.004150391, 0.8103027, -1.219512, -1.189024, -0.3963415, 20.74118
0.875177, -0.05029297, 0.003662109, 0.8134766, -1.219512, -1.341463, -0.5487805, 20.74118
0.884509, -0.04858398, 0.006835938, 0.8210449, -1.097561, -0.9756098, -0.4878049, 20.74118
0.893907, -0.05200195, 0.007080078, 0.8137207, -1.067073, -1.310976, -0.6402439, 20.69412
0.903259, -0.04785156, 0.003417969, 0.817627, -1.219512, -1.219512, -0.7012195, 20.74118
0.923264, -0.04272461, -0.0007324219, 0.8254395, -1.280488, -1.097561, -0.5182927, 20.78824
0.932844, -0.04638672, 0.005615234, 0.8166504, -1.219512, -1.067073, -0.5792683, 20.69412
0.942269, -0.04345703, 0.006347656, 0.8098145, -1.280488, -1.25, -0.4268293, 20.64706
0.951641, -0.046875, 0.008056641, 0.8173828, -1.189024, -1.097561, -0.4878049, 20.78824
0.9610229, -0.05126953, 0.005859375, 0.8190918, -1.25, -1.158537, -0.7317073, 20.74118
0.970426, -0.04541016, 0.01025391, 0.8125, -1.310976, -1.219512, -0.4268293, 20.74118
0.979796, -0.05297852, 0.005859375, 0.8139648, -1.158537, -1.097561, -0.4878049, 20.78824
0.989197, -0.04858398, 0.002441406, 0.8200684, -1.341463, -1.219512, -0.5487805, 20.74118
0.99859, -0.04492188, 0.003173828, 0.8161621, -1.280488, -1.189024, -0.4573171, 20.78824
1.007979, -0.05810547, 0.004150391, 0.8103027, -1.310976, -1.158537, -0.4268293, 20.74118
1.028171, -0.04077148, 0.002929688, 0.8144531, -1.25, -1.128049, -0.5182927, 20.69412
1.037686, -0.04711914, 0.0007324219, 0.8063965, -1.219512, -1.097561, -0.4573171, 20.69412
1.047123, -0.04882813, 0.001953125, 0.8200684, -1.189024, -1.097561, -0.4573171, 20.74118
1.05655, -0.04101563, 0.004882813, 0.8154297, -1.189024, -1.128049, -0.5792683, 20.69412
1.065936, -0.04541016, 0.003417969, 0.809082, -1.310976, -0.9146341, -0.5487805, 20.74118
1.075334, -0.04785156, 0.004882813, 0.8217773, -1.280488, -1.219512, -0.4573171, 20.74118
1.084769, -0.05004883, 0.003417969, 0.8083496, -1.067073, -0.9756098, -0.6097561, 20.78824
1.094131, -0.04443359, 0.003662109, 0.8146973, -1.158537, -1.067073, -0.5487805, 20.64706
1.103544, -0.05249023, 0.01635742, 0.8483887, -3.719512, -1.189024, -0.5792683, 20.83529
1.11292, -0.04516602, -0.01416016, 0.7958984, -1.493902, -0.8231708, -0.7012195, 20.74118
1.133281, -0.05102539, 0.01879883, 0.8078613, -1.219512, -1.036585, -0.0304878, 20.74118
1.142766, -0.04418945, 0.04370117, 0.8137207, -1.036585, -1.006098, -1.402439, 20.74118
1.152205, -0.07592773, 0.04418945, 0.8127441, -0.1219512, -1.128049, -4.573171, 20.74118
1.161614, -0.06958008, 0.01635742, 0.8205566, -0.5182927, -1.402439, -6.128049, 20.78824
1.171022, -0.06762695, 0.009765625, 0.8212891, -1.006098, -1.189024, -5.518293, 20.64706
1.180421, -0.006835938, 0.02905273, 0.8203125, -1.310976, -1.310976, -3.841464, 20.69412
1.189809, -0.01513672, -0.0378418, 0.8129883, -1.219512, -1.036585, -1.554878, 20.83529
1.199201, -0.02929688, -0.1096191, 0.8190918, -0.8841463, -1.585366, -1.646341, 20.83529
1.208596, -0.07104492, -0.5627441, 0.8813477, 2.378049, -0.09146341, -5.945122, 20.78824
1.21799, -0.08007813, -0.07250977, 0.7805176, 0.1829268, -1.310976, -3.262195, 20.74118
1.238528, -0.07861328, 0.1345215, 0.8242188, -2.042683, -1.829268, 2.804878, 20.83529
1.248069, -0.09082031, 0.2131348, 0.8181152, -1.25, -2.195122, 3.018293, 20.69412
1.257478, -0.02758789, 0.09838867, 0.7980957, -1.859756, -1.829268, 1.585366, 20.74118
1.266844, -0.0559082, 0.0234375, 0.7924805, -1.829268, -1.402439, 1.067073, 20.74118
1.276255, -0.03637695, 0.02026367, 0.8266602, -0.8231708, -1.402439, -1.128049, 20.78824
1.285657, -0.04443359, 0.001220703, 0.8154297, -1.128049, -1.432927, -3.384146, 20.74118
1.295057, -0.05371094, -0.005859375, 0.8061523, -2.042683, -0.8841463, -3.75, 20.88235
1.304448, -0.05249023, -0.04418945, 0.8166504, -2.134146, -1.707317, -3.810976, 20.74118
1.313817, -0.04760742, -0.003417969, 0.807373, -2.073171, -1.432927, -2.621951, 20.74118
1.323263, -0.01977539, 0.04101563, 0.8972168, -6.52439, -4.207317, -0.3353659, 20.69412
1.344017, -0.08618164, 0.006835938, 0.9680176, -15.82317, -13.78049, 0.2439024, 20.88235
1.353575, -0.1191406, 0.003662109, 0.9333496, -16.58537, -16.12805, -2.5, 20.83529
1.362999, -0.1169434, 0.01928711, 0.8713379, -14.87805, -18.90244, -6.920732, 20.69412
1.372406, -0.1091309, 0.04760742, 0.9309082, -15.73171, -23.38415, -9.054878, 20.88235
1.381819, 0.01611328, 0.06420898, 1.04126, -17.46951, -30.42683, -8.018292, 20.64706
1.391179, 0.06469727, 0.03100586, 1.057373, -10.03049, -44.48171, -4.817073, 20.78824
1.400527, 0.02856445, 0.05859375, 1.108398, -8.841464, -53.56708, 2.042683, 20.69412
1.409897, -0.1645508, 0.009765625, 0.9890137, -15.42683, -62.40854, 5.121951, 20.74118
1.419215, -0.09545898, -0.05395508, 0.8845215, -7.256098, -71.31097, 10.2439, 20.74118
1.428649, -0.1005859, -0.03833008, 0.6618652, -12.98781, -69.14634, 16.21951, 20.83529
1.449551, -0.04248047, -0.01220703, 0.7211914, 11.28049, -71.61585, 19.84756, 20.78824
1.459038, 0.09228516, -0.04272461, 0.791748, 13.5061, -66.58536, 18.23171, 20.78824
1.468492, 0.0703125, 0.06591797, 0.9594727, 15.09146, -76.06708, 14.81707, 20.83529
1.47787, 0.04589844, 0.109375, 1.034424, 6.890244, -79.69512, 14.14634, 20.69412
1.487202, 0.09375, 0.0480957, 0.6850586, 19.96951, -88.07927, 13.84146, 20.78824
1.496521, 0.05908203, 0.08251953, 0.6140137, 44.02439, -91.37196, 22.22561, 20.74118
1.505827, 0.3100586, 0.1655273, 0.7382813, 48.96342, -72.80488, 22.04268, 20.69412
1.515178, 0.2746582, -0.001220703, 0.5898438, 25.06098, -50.06098, 14.20732, 20.74118
1.524534, 0.2285156, -0.02685547, 0.6889648, 1.554878, -56.64634, 9.908537, 20.83529
1.533872, 0.2680664, -0.04785156, 0.8605957, -8.719512, -59.90854, 7.77439, 20.92941
1.554996, 0.1794434, -0.2280273, 0.861084, 8.658537, -43.81098, 4.939024, 20.83529
1.564564, 0.1237793, -0.09448242, 0.7255859, 12.56098, -20.54878, 0.2743902, 20.74118
1.57403, 0.184082, -0.05200195, 0.7409668, 9.085366, 16.25, -0.06097561, 20.69412
1.583453, 0.2355957, 0.0007324219, 0.6987305, 1.280488, 64.63415, 0.9146341, 20.74118
1.592797, 0.255127, 0.03442383, 0.7521973, -9.573171, 114.5427, 1.859756, 20.69412
1.602141, 0.1911621, 0.06298828, 0.9155273, -16.95122, 150.7012, 0.1829268, 20.74118
1.611447, 0.09179688, 0.09838867, 1.157227, -22.89634, 164.8171, -1.554878, 20.74118
1.62079, -0.007324219, 0.1838379, 1.168701, -29.26829, 162.1037, -3.780488, 20.78824
1.63009, -0.04077148, 0.2026367, 1.212402, -37.95732, 145.9146, -6.585366, 20.74118
1.639451, -0.0559082, 0.1296387, 1.232422, -44.93903, 123.3232, -9.939025, 20.74118
1.660674, 0.06225586, -0.04223633, 1.192383, -52.04268, 71.09756, -7.347561, 20.97647
1.670156, -0.02441406, -0.07714844, 1.437012, -46.85976, 27.40854, 3.536585, 20.69412
1.679566, -0.08447266, 0.06347656, 1.453369, -40.42683, -16.34146, 18.65854, 20.78824
1.689024, -0.1564941, -0.01342773, 1.231934, -45.06098, -50.5183, 15.18293, 20.74118
1.698445, -0.2912598, -0.1359863, 1.175537, -45.91464, -78.75, 4.847561, 20.74118
1.707838, -0.286377, -0.2026367, 1.189697, -41.09756, -98.93293, -0.7621951, 20.69412
1.717261, -0.2480469, -0.28125, 0.9460449, -25.09146, -102.9268, -7.713415, 20.83529
1.726663, -0.0949707, -0.1999512, 0.8427734, -9.45122, -85.51829, -4.72561, 20.83529
1.736118, 0.1804199, -0.1643066, 0.7636719, -3.292683, -43.56708, -15.15244, 20.78824
1.745517, 0.3735352, -0.15625, 0.5039063, -6.615854, 24.7561, -30.51829, 20.74118
1.766899, 0.4353027, -0.0234375, 0.3798828, -10.36585, 182.2256, -40.4878, 20.78824
1.776452, 0.2822266, -0.02905273, 0.5361328, -3.658537, 212.9573, -36.7378, 20.78824
1.785912, 0.08154297, -0.170166, 0.9018555, 11.03659, 187.9268, -27.7439, 20.74118
1.795308, -0.04125977, -0.1137695, 0.9389648, 18.87195, 134.7256, -23.65854, 20.78824
1.804708, -0.2546387, -0.1584473, 1.061523, 19.14634, 59.32927, -31.03659, 20.78824
1.814134, -0.3498535, -0.119873, 1.093018, 14.96951, -23.93293, -34.45122, 20.83529
1.823533, -0.359375, -0.04296875, 0.958252, 14.7561, -89.51221, -27.28659, 20.78824
1.832914, -0.2746582, 0.02709961, 0.784668, 16.09756, -123.6585, -19.87805, 20.74118
1.842313, -0.1660156, 0.004638672, 0.6486816, 17.7439, -127.1951, -13.17073, 20.74118
1.851738, -0.05541992, 0.005371094, 0.4685059, 19.87805, -104.878, -6.310976, 20.88235
1.873299, 0.1474609, -0.05786133, 0.3251953, 27.56098, -10.67073, -0.9756098, 20.78824
1.882936, 0.1694336, -0.01489258, 0.2775879, 28.41464, 26.64634, -0.2134146, 20.69412
1.892341, 0.1323242, 0.0144043, 0.2780762, 24.84756, 53.59756, 0.0304878, 20.78824
1.901646, 0.05859375, -0.003662109, 0.3647461, 17.46951, 68.0183, -3.567073, 20.74118
1.911026, -0.001464844, 0.09375, 0.4821777, 7.804878, 63.90244, -7.652439, 20.88235
1.920377, 0.03857422, 0.09301758, 0.5634766, -2.134146, 43.96342, -7.591464, 20.74118
