time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.01371094,0.01940063,0.9941678,0.248878,0.002951264,0.1216585
0.019954,0.01249024,0.02036194,1.000788,0.03546345,0.3992927,-0.09175611
0.039939,0.01664063,0.01451599,1.007385,-0.02551222,0.2163659,-0.1222439
0.059932,0.02152344,0.01329285,1.003722,0.096439,0.1249025,-0.1222439
0.079938,0.02494141,0.01623047,1.00319,0.03546345,0.03343904,0.1216585
0.099935,0.01761719,0.01571594,1.007123,0.2793658,-0.119,-0.3051707
0.119933,0.01541992,0.01280029,0.9983627,0.3708293,-0.1799756,-0.09175611
0.139932,0.01004883,0.01620117,1.003234,0.004975557,0.1249025,-0.09175611
0.159935,0.02030273,0.01914978,0.9971306,0.1269268,0.2773415,0.09117073
0.179935,0.01712891,0.01916015,1.007401,0.248878,0.2773415,0.03019512
0.200165,0.01688477,0.01646484,1.005939,-0.02551222,0.3992927,-0.000292659
0.219956,0.01834961,0.0167157,1.015187,0.1879025,-0.119,-0.3051707
0.239944,0.01395508,0.01452026,1.00076,0.096439,-0.271439,-0.1527317
0.259935,0.01541992,0.01183533,1.00176,0.06595123,-0.3629024,-0.3356586
0.279938,0.01297852,0.0162146,1.002523,0.1269268,0.1553903,-0.03078049
0.299935,0.02347656,0.01865173,1.000072,0.1574147,0.3383171,0.03019512
0.319933,0.01615234,0.01963135,0.9946535,0.096439,0.1553903,0.09117073
0.339934,0.01639649,0.01816589,1.00592,0.004975557,-0.1494877,-0.1222439
0.359931,0.01175781,0.009381713,0.9959251,0.004975557,-0.02753651,-0.1832195
0.379936,0.01859375,0.007677612,1.002976,0.1574147,0.002951264,0.09117073
0.399974,0.01786133,0.01013306,1.0013,0.1879025,0.2468537,-0.000292659
0.419949,0.02005859,0.02085754,1.001741,0.03546345,-0.3019269,-0.06126827
0.439933,0.0225,0.01841247,0.9995363,0.096439,-0.02753651,-0.03078049
0.459933,0.01786133,0.01643921,0.9976609,0.2183902,0.3078293,0.1521463
0.479934,0.01297852,0.01938965,0.997835,0.004975557,-0.08851218,-0.000292659
0.499931,0.01053711,0.01940063,1.008547,0.3403414,0.2773415,0.1521463
0.519933,0.01810547,0.01229614,0.9971268,0.06595123,0.002951264,-0.2137073
0.539935,0.01957031,0.01133972,0.9968852,-0.08648777,-0.2409512,0.09117073
0.559936,0.01810547,0.01621765,1.002708,0.096439,-0.4543658,-0.09175611
0.579933,0.01395508,0.01889648,1.004929,-0.02551222,-0.2104634,-0.06126827
0.599984,0.0134668,0.01719849,1.003699,0.004975557,0.09441471,-0.03078049
0.619948,0.01395508,0.01889954,1.007421,0.03546345,0.09441471,0.09117073
0.639937,0.01664063,0.01475952,1.007601,-0.02551222,0.1249025,0.03019512
0.659941,0.01981445,0.009620971,0.9968928,0.096439,0.1249025,-0.03078049
0.679932,0.01615234,0.01500427,0.9998225,0.096439,-0.2409512,-0.03078049
0.699931,0.01541992,0.01501099,1.004439,0.004975557,-0.4848536,-0.1527317
0.719937,0.01786133,0.0157312,0.9964478,-0.08648777,-0.3933902,-0.2441951
0.739935,0.0212793,0.0171875,1.000531,-0.05599999,-1.338512,-0.3661463
0.759934,0.01029297,0.01623596,1.002001,0.2183902,-0.9726586,-0.3966341
0.779934,0.01761719,0.02181763,1.002228,0.1269268,-2.283634,-0.7624878
0.799992,0.01444336,0.02084595,1.000303,-0.05599999,-2.619,-1.951512
0.819952,0.01419922,0.00791748,1.000028,0.06595123,-1.155585,-5.732
0.839942,0.01786133,0.01110657,0.9968584,-0.2389269,-0.728756,-8.567367
0.8599299,0.02225586,0.01110657,1.009561,-0.05599999,-0.7592439,-11.15883
0.879933,-0.01485351,0.001123657,1.001281,0.096439,-0.728756,-20.82346
0.899934,-0.03780273,0.01061707,1.003955,-0.02551222,-1.033634,-33.38444
0.919929,0.03934571,0.01841675,0.9971458,-0.1474634,-0.8811951,-36.982
0.939932,0.004189454,0.02427795,1.012068,-0.2694147,-0.3933902,-38.68932
0.959929,-0.01119141,0.004990234,1.001296,-0.2389269,-0.6372926,-41.52468
0.979937,-0.04341797,-0.006682129,1.002513,-0.4828293,-0.8507072,-54.78688
1.00018,-0.05953125,-0.0188855,0.9983818,-0.4828293,-1.551927,-71.43322
1.019951,-0.1056738,-0.02611145,1.016948,-0.6962439,-1.460464,-85.88445
1.039935,-0.055625,-0.003655396,1.013994,-0.6047806,-1.673878,-94.90884
1.059935,-0.04927734,-0.0321582,0.9964899,-0.5133171,-0.9421706,-103.8113
1.079933,0.005654298,0.1143903,1.013001,-0.3913659,-1.734854,-111.2198
1.099933,-0.04024414,0.1292932,1.000728,-0.4828293,-3.442171,-126.6466
1.119934,-0.168418,0.05467224,1.000223,-0.6962439,-4.234854,-142.7137
1.139933,0.04520508,0.05126465,1.015732,-1.03161,-3.198268,-158.4149
1.159936,-0.1864844,0.09625488,0.9969451,-0.9401464,-0.6068048,-182.3783
1.179938,0.07523438,0.01052429,1.02666,-1.397464,-2.07022,-188.9027
1.204099,-0.06319336,0.1126318,1.034814,-1.245024,-0.4238781,-183.5979
1.219948,0.0862207,0.1172827,1.010717,-1.366976,-3.137293,-182.4393
1.239941,0.03080078,-0.02300354,1.010627,-1.214537,-0.5458293,-182.0125
1.259939,-0.03365234,0.03392456,0.9850153,-0.7267318,-1.369,-186.7076
1.279934,-0.05977539,0.06169006,1.004139,-0.7267318,-1.582415,-190.9454
1.299937,0.005654298,0.09988831,0.9825434,-0.6352683,-3.869,-184.2381
1.319933,0.01957031,0.08465698,1.001552,-0.3608781,-3.869,-164.6954
1.339935,0.08573242,0.06908508,0.9787347,-0.4523415,-3.59461,-163.171
1.359932,-0.07149414,0.05257263,1.011565,-0.8791706,-5.149488,-160.1222
1.379933,-0.213584,0.07145507,1.046712,-0.8486829,-4.936073,-162.0735
1.404316,0.09012695,-0.04643311,1.015722,-0.6352683,-3.777537,-163.9027
1.419948,0.1216211,0.126546,0.9761256,-0.7572196,-3.59461,-147.1039
1.439943,0.1277246,0.1111969,0.9706212,-0.2389269,-2.07022,-131.0369
1.459933,0.1518945,0.08639587,1.008265,-0.7877073,-2.649488,-114.1466
1.479929,-0.007773437,0.009436034,0.9908627,-1.153561,-1.125098,-96.31127
1.499933,0.1189355,-0.05879883,0.995433,-0.6657561,-0.9116829,-100.2747
1.519931,0.02225586,-0.08007629,1.001506,-0.8791706,-2.07022,-95.33566
1.539933,0.04007813,0.1367249,1.017122,-0.08648777,0.1858781,-86.7381
1.559935,0.03714844,0.02153625,0.9988931,-0.208439,0.521244,-82.46982
1.579931,0.02323242,0.04279846,1.000561,-0.05599999,1.222463,-69.20761
1.604443,0.07889648,0.04417419,1.015456,-0.05599999,-2.100707,-55.45761
1.619947,0.001015626,0.07977417,0.9978019,-0.3608781,-1.856805,-41.2503
1.639932,0.0356836,0.02445251,0.9946713,0.03546345,0.4907561,-28.50639
1.659935,0.04349609,0.01349792,1.000508,-0.3608781,1.67978,-22.7442
1.679933,0.01322266,0.002095947,1.002488,-0.05599999,1.40539,-23.50639
1.69993,0.006142579,0.02963257,1.01296,0.03546345,1.954171,-20.61005
