Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
41.50880957,0.04329365,0.01268973,0.9714589,-2.24275,0.8581451,-0.4784815
41.51888895,0.04669914,-0.003246056,0.9674666,-0.1490902,0.0814057,-0.2343635
41.52896786,0.04527564,-0.000287645,0.9781913,-0.02593367,-0.9343305,-0.05127494
41.53904724,0.04675757,-0.003605345,0.9874156,0.7745835,-1.71107,1.047256
41.54912615,0.04532849,-0.005023188,0.9922743,-0.5801378,-2.129314,2.023729
41.55920553,0.05065431,-0.000124733,1.003979,-0.3954031,-1.770819,0.8031382
41.56928492,0.05307005,0.005220824,1.010335,0.5282705,-0.7550829,0.9862267
41.57936382,0.0501812,-0.002045103,1.005427,-0.888029,0.2606533,1.413433
41.58944321,0.05014541,0.008061191,1.002082,-1.56539,0.4399008,0.4979907
41.59952259,0.04533779,0.002270572,1.002051,-1.873281,-0.2770894,1.108286
41.6096015,0.04868377,0.000754356,0.9903604,-1.442233,0.1411549,0.8031382
41.61968088,0.04384176,0.00070877,0.9835512,-0.3954031,0.1411549,-0.1123045
41.62976027,0.03711104,-0.004100791,0.9864469,-0.02593367,-0.7550829,-0.05127494
41.63983917,0.04435655,-0.006494657,0.9883732,0.03564457,-1.591572,-0.295393
41.64991856,0.04581213,-0.00501983,0.9927606,-1.072764,-0.157591,-0.173334
41.65999842,0.04335719,-0.002206095,0.9801275,-1.503812,0.4399008,-0.5395111
41.67007732,0.04432803,-0.004131384,0.9806017,-1.380655,-0.9343305,0.1318136
41.67763662,0.04720015,0.01182707,0.987509,-0.9496073,-1.591572,0.6200497
41.68771601,0.04580935,0.003702691,0.9996262,-1.442233,-1.412324,1.230345
41.69779539,0.04675711,0.003667421,0.9937857,-1.011186,-1.053829,1.291374
41.7078743,0.05453212,-0.0165664,0.9960901,-0.5185596,-0.6953337,1.230345
41.71795368,0.05643588,0.009081357,1.010356,-0.5185596,-0.456337,3.06123
41.72803307,0.05453802,-0.01121964,1.002935,-0.9496073,-0.8148321,2.450935
41.73811197,0.05405685,-0.01218751,1.002443,-1.19592,-0.7550829,1.901669
41.74819136,0.05060332,0.001705303,0.9879315,-1.934859,-1.053829,1.657551
41.75827026,0.03993945,0.01030894,0.9767998,-1.626968,-0.5160862,-0.05127494
41.76834965,0.04815626,-0.0100115,0.9649914,0.8361618,-0.2173402,-0.2343635
41.77842903,0.04186906,-0.000841396,0.9669984,2.437196,-0.9940796,-0.7225996
41.78850889,0.04283464,0.002556081,0.9704245,1.882992,-1.591572,-0.7836291
41.7985878,0.04431456,0.001658638,0.9811235,2.006148,-0.8745813,-1.393924
41.80866718,0.05067181,-0.01511953,0.9965886,0.4666923,-0.03809267,-1.149806
41.81874657,0.04536536,-0.01609698,0.9951267,-1.134342,0.7983959,-0.3564225
41.82882547,0.04776763,-0.004961407,1.002005,-1.380655,0.3204024,0.1318136
41.83890486,0.05117808,-0.01409768,1.00584,-1.257499,-0.3368386,-0.3564225
41.84898424,0.04873212,-0.01368921,0.9941655,1.267209,-0.2173402,1.169315
41.85906315,0.05301797,0.003654104,0.9908613,2.190883,-2.009816,1.596522
41.86914253,0.0496912,-0.004486713,1.000547,2.745087,-2.846304,0.9862267
41.87922144,0.0506994,-0.01166579,1.009261,1.759835,-2.906054,-0.173334
41.88930082,0.0501685,0.001806913,1.004477,1.020896,-2.726806,-0.9056881
41.89938021,0.04969803,0.00377155,1.010329,0.7745835,-2.786555,-1.88216
41.90945911,0.05794787,-0.000475625,1.024409,0.2203793,-1.233076,-2.187308
41.9195385,0.05457723,-0.00628616,1.02097,-1.011186,1.276389,-1.821131
41.92961788,0.05744871,-0.01409001,1.006322,-1.072764,2.112878,-1.821131
41.93969679,0.0482212,-0.007447285,0.9898243,-1.873281,2.590872,-1.332895
41.94977665,0.04384021,0.00022052,0.9825749,-1.811703,1.156891,-2.126278
41.95985603,0.05498244,-0.01614977,0.9853867,-2.119594,0.2009041,-1.88216
41.96993542,0.04869647,-0.01182618,0.9834713,-2.119594,-0.5160862,-0.9667177
41.98001432,0.04388484,-0.008412026,0.9903084,-2.058016,-0.6355845,-0.5395111
41.98757362,0.05402803,-0.006430477,0.9976119,-2.735376,-0.2173402,-0.5395111
41.99765301,0.04821874,0.006609998,1.001588,-2.61222,0.4399008,-1.027747
42.00773192,0.03955095,-0.005977014,0.994706,-2.920111,0.4399008,-2.004219
42.0178113,0.04390963,-0.009328544,0.9980887,-2.427485,0.3801516,-2.553485
42.02789068,0.05115127,-0.01076091,0.9995342,-2.181172,-0.157591,-2.004219
42.03796959,0.05212103,-0.01608295,0.9965816,-1.626968,-0.5758353,0.4369612
42.04804897,0.04962751,0.001195339,0.9835497,-1.442233,-2.308562,0.9251972
42.05812836,0.05013718,-0.00892859,0.9839745,0.09722282,-3.264549,0.4979907
42.06820726,0.05493084,-0.003167961,0.9791395,0.7745835,-3.563295,1.352404
42.07828713,0.0520561,-0.001190128,0.9874262,4.03823,-4.399783,2.695053
42.08836651,0.06224362,-0.004447368,1.005404,3.176135,-4.399783,2.634024
42.09844589,0.05650731,-0.01161648,1.016557,0.2819575,-2.667057,1.84064
42.1085248,0.04482129,0.004136237,0.9918436,-0.4569814,-2.846304,1.352404
42.11860418,0.04916881,0.000760713,0.9913332,-1.257499,-3.742542,0.8031382
42.12868309,0.05112074,-0.005977376,0.9932373,-0.6417161,-2.726806,0.4369612
42.13876247,0.06269395,-0.004030736,0.9947001,-1.380655,-1.651321,1.047256
42.14884186,0.05452391,-0.01173489,0.9975793,-1.257499,-0.7550829,0.1928431
42.15892077,0.06460155,-0.001165778,0.9898499,-2.427485,-0.9343305,0.6200497
42.16900015,0.05976357,-0.001687617,0.984011,-2.427485,-0.157591,-0.3564225
42.17907953,0.05350549,-0.001668301,0.9879088,-2.365907,0.2009041,-0.1123045
42.18915844,0.05982555,-0.01270743,0.9956229,-2.673798,0.3204024,-0.4784815
42.19923782,0.05693717,-0.01415335,0.9961029,-1.380655,1.395888,0.2538726
42.20931721,0.05882184,-0.004548857,0.9893471,-0.7032943,1.455637,-0.6615701
42.21939611,0.05883424,-0.005007116,0.9932373,-0.5801378,1.21664,-0.8446586
42.2294755,0.0564433,-0.006904932,0.9985805,-1.19592,0.0814057,-0.6615701
42.23955536,0.05988831,-0.03002951,1.001844,-1.380655,-0.3368386,0.3759317
42.24963427,0.05354097,-0.004016579,0.9981136,-1.56539,-1.233076,1.901669
42.25971365,0.0540271,-0.009341982,0.9946745,-1.380655,-0.9940796,0.8031382
42.26979303,0.05542069,-0.005575862,0.9796112,-0.9496073,-0.5160862,0.7421087
42.27987194,0.04964579,-0.00700894,0.9825266,-0.1490902,0.2606533,0.3759317
