Time (s),acc_x,acc_y,acc_z,gx,gy,gz (deg/s)
41.50880957,0,0,1,0,0,0
41.51888895,0,0,1,0,0,0
41.52896786,0,0,1,0,0,0
41.53904724,0,0,1,0,0,0
41.54912615,0,0,1,0,0,0
41.55920553,0,0,1,0,0,0
41.56928492,0,0,1,0,0,0
41.57936382,0,0,1,0,0,0
41.58944321,0,0,1,0,0,0
41.59952259,0,0,1,0,0,0
41.6096015,0,0,1,0,0,0
41.61968088,0,0,1,0,0,0
41.62976027,0,0,1,0,0,0
41.63983917,0,0,1,0,0,0
41.64991856,0,0,1,0,0,0
41.65999842,0,0,1,0,0,0
41.67007732,0,0,1,0,0,0
41.67763662,0,0,1,0,0,0
41.68771601,0,0,1,0,0,0
41.69779539,0,0,1,0,0,0
41.7078743,0,0,1,0,0,0
41.71795368,0,0,1,0,0,0
41.72803307,0,0,1,0,0,0
41.73811197,0,0,1,0,0,0
41.74819136,0,0,1,0,0,0
41.75827026,0,0,1,0,0,0
41.76834965,0,0,1,0,0,0
41.77842903,0,0,1,0,0,0
41.78850889,0,0,1,0,0,0
41.7985878,0,0,1,0,0,0
41.80866718,0,0,1,0,0,0
41.81874657,0,0,1,0,0,0
41.82882547,0,0,1,0,0,0
41.83890486,0,0,1,0,0,0
41.84898424,0,0,1,0,0,0
41.85906315,0,0,1,0,0,0
41.86914253,0,0,1,0,0,0
41.87922144,0,0,1,0,0,0
41.88930082,0,0,1,0,0,0
41.89938021,0,0,1,0,0,0
41.90945911,0,0,1,0,0,0
41.9195385,0,0,1,0,0,0
41.92961788,0,0,1,0,0,0
41.93969679,0,0,1,0,0,0
41.94977665,0,0,1,0,0,0
41.95985603,0,0,1,0,0,0
41.96993542,0,0,1,0,0,0
41.98001432,0,0,1,0,0,0
41.98757362,0,0,1,0,0,0
41.99765301,0,0,1,0,0,0
42.00773192,0,0,1,0,0,0
42.0178113,0,0,1,0,0,0
42.02789068,0,0,1,0,0,0
42.03796959,0,0,1,0,0,0
42.04804897,0,0,1,0,0,0
42.05812836,0,0,1,0,0,0
42.06820726,0,0,1,0,0,0
42.07828713,0,0,1,0,0,0
42.08836651,0,0,1,0,0,0
42.09844589,0,0,1,0,0,0
42.1085248,0,0,1,0,0,0
42.11860418,0,0,1,0,0,0
42.12868309,0,0,1,0,0,0
42.13876247,0,0,1,0,0,0
42.14884186,0,0,1,0,0,0
42.15892077,0,0,1,0,0,0
42.16900015,0,0,1,0,0,0
42.17907953,0,0,1,0,0,0
42.18915844,0,0,1,0,0,0
42.19923782,0,0,1,0,0,0
42.20931721,0,0,1,0,0,0
42.21939611,0,0,1,0,0,0
42.2294755,0,0,1,0,0,0
42.23955536,0,0,1,0,0,0
42.24963427,0,0,1,0,0,0
42.25971365,0,0,1,0,0,0
42.26979303,0,0,1,0,0,0
42.27987194,0,0,1,0,0,0
42.28995132,0,0,1,0,0,0
42.30003071,0,0,1,0,0,0
42.30759001,0,0,1,0,0,0
42.31766892,0,0,1,0,0,0
42.3277483,0,0,1,0,0,0
42.33782721,0,0,1,0,0,0
42.34790659,0,0,1,0,0,0
42.35798645,0,0,1,0,0,0
42.36806583,0,0,1,0,0,0
42.37814474,0,0,1,0,0,0
42.38822413,0,0,1,0,0,0
42.39830351,0,0,1,0,0,0
42.40838242,0,0,1,0,0,0
42.4184618,0,0,1,0,0,0
42.42854118,0,0,1,0,0,0
42.43862009,0,0,1,0,0,0
