time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-0.03393555,0.02490234,0.8164063,-0.116632483,-0.142957389,-0.099716719
0.009578,-0.03198242,0.02758789,0.8095703,0.135276517,0.047881611,-0.099716719
0.018865,-0.02905273,0.02099609,0.826416,0.066573517,-0.051354389,0.030054281
0.028257,-0.03051758,0.02124023,0.8171387,-0.070830483,0.040248611,-0.061548819
0.037597,-0.03393555,0.01855469,0.8173828,-0.063197483,-0.142957389,0.167458781
0.046955,-0.0300293,0.02392578,0.8283691,0.051306517,-0.097156389,-0.145518219
0.056355,-0.03173828,0.02246094,0.8156738,0.013138517,0.086049611,-0.092083219
0.065691,-0.03417969,0.01782227,0.8215332,-0.047929483,-0.058988389,-0.076815919
0.07497701,-0.02905273,0.02734375,0.8200684,-0.185334483,-0.020820389,0.114023681
0.08432199,-0.03076172,0.02416992,0.8220215,-0.002128483,0.215820911,0.007153481
0.100094,-0.02856445,0.02832031,0.8222656,0.112375517,0.200553711,0.060588581
0.109642,-0.03735352,0.02539063,0.8139648,0.066573517,0.055515611,-0.252388519
0.119004,-0.03295898,0.02172852,0.8222656,0.036039517,-0.226927389,0.136924481
0.128346,-0.03417969,0.02880859,0.8205566,0.142909517,0.093683611,0.075855781
0.137678,-0.03735352,0.02441406,0.8222656,0.020772517,0.185286611,-0.099716719
0.146947,-0.03344727,0.02148438,0.8205566,-0.086097483,-0.371965389,-0.023380919
0.156308,-0.03417969,0.02832031,0.8120117,-0.131899483,-0.165858389,-0.061548819
0.165617,-0.03466797,0.02319336,0.8183594,0.173444117,0.108950611,-0.198953419
0.174905,-0.02929688,0.02661133,0.8322754,-0.108998483,0.009713611,-0.076815919
0.18418,-0.03173828,0.02392578,0.8200684,-0.017395483,-0.036087389,-0.008113719
0.19946,-0.03295898,0.02514648,0.8190918,-0.070830483,0.024981611,-0.038648019
0.209003,-0.02954102,0.01977539,0.8186035,-0.055563483,-0.066621389,0.030054281
0.21839,-0.03222656,0.0234375,0.8168945,0.074207517,-0.028454389,-0.122617519
0.227707,-0.03076172,0.02294922,0.8200684,-0.223502483,-0.219293389,-0.023380919
0.237054,-0.03588867,0.01977539,0.8210449,-0.040296483,0.192920111,0.091122981
0.24639,-0.03369141,0.02539063,0.8203125,0.249780017,-0.219293389,0.182725981
0.255688,-0.03100586,0.02539063,0.8266602,0.020772517,0.002080611,-0.137884719
0.264946,-0.02929688,0.02001953,0.8212891,0.089474517,-0.135324389,-0.023380919
0.274306,-0.03125,0.02490234,0.8151855,-0.025029483,0.086049611,0.091122981
0.283554,-0.02685547,0.02734375,0.8254395,0.135276517,0.055515611,0.114023681
0.29901,-0.02905273,0.02075195,0.8220215,0.036039517,0.009713611,0.052954981
0.308552,-0.03125,0.02636719,0.8144531,-0.055563483,0.108950611,0.030054281
0.31788,-0.03100586,0.02050781,0.8144531,-0.108998483,0.108950611,-0.084449519
0.327246,-0.03271484,0.02148438,0.8217773,-0.002128483,-0.020820389,-0.023380919
0.33657,-0.03613281,0.02612305,0.8283691,-0.047929483,0.124217611,0.091122981
0.345844,-0.0300293,0.02050781,0.8195801,-0.063197483,0.024981611,-0.023380919
0.355202,-0.02807617,0.01977539,0.8146973,0.120008517,0.055515611,0.045321481
0.3645,-0.02636719,0.02075195,0.8171387,-0.108998483,-0.005553389,0.144558081
0.373791,-0.03295898,0.02416992,0.8256836,-0.032662483,0.154752211,-0.145518219
0.383132,-0.02978516,0.02197266,0.8261719,-0.070830483,-0.013186389,0.281962681
0.398749,-0.0324707,0.02758789,0.8115234,0.135276517,-0.120057389,-0.069182419
0.408324,-0.02661133,0.02539063,0.8208008,0.051306517,-0.005553389,0.075855781
0.417686,-0.03198242,0.02099609,0.815918,0.089474517,-0.219293389,0.045321481
0.427013,-0.03149414,0.02148438,0.8149414,0.112375517,0.055515611,-0.046281619
0.436382,-0.03930664,0.02734375,0.8200684,0.097108517,-0.074255389,-0.160785419
0.44575,-0.03198242,0.02661133,0.8200684,-0.078464483,-0.028454389,0.037687881
0.455083,-0.03125,0.02539063,0.8232422,-0.040296483,-0.287995389,0.098756481
0.464455,-0.03173828,0.02368164,0.826416,-0.139533483,0.009713611,-0.023380919
0.473802,-0.03613281,0.02392578,0.822998,0.142909517,0.047881611,0.045321481
0.483147,-0.0300293,0.02661133,0.8195801,-0.032662483,0.116584611,-0.061548819
0.498827,-0.02758789,0.02563477,0.8220215,-0.101365483,0.177653011,0.030054281
0.508332,-0.02734375,0.01904297,0.8149414,-0.086097483,0.139484611,-0.053915219
0.517662,-0.03564453,0.02587891,0.8173828,-0.040296483,0.353225511,0.098756481
0.526968,-0.02929688,0.01953125,0.8225098,-0.116632483,-0.089522389,-0.023380919
0.536301,-0.02929688,0.02172852,0.8171387,0.074207517,0.139484611,-0.015747319
0.545594,-0.02490234,0.02685547,0.8205566,0.036039517,-0.089522389,0.091122981
0.554884,-0.02929688,0.0222168,0.8200684,-0.025029483,-0.127690389,0.014787081
0.5642529,-0.03051758,0.02514648,0.8117676,-0.086097483,-0.074255389,0.068222181
0.573512,-0.03100586,0.02612305,0.8239746,-0.055563483,0.200553711,-0.114983919
0.582907,-0.03735352,0.02636719,0.8322754,0.074207517,0.017347611,0.098756481
0.602621,-0.03173828,0.02709961,0.8173828,0.020772517,-0.051354389,-0.038648019
0.612097,-0.02587891,0.02636719,0.8217773,0.058940517,0.124217611,-0.076815919
0.621469,-0.02661133,0.02319336,0.8222656,0.081841517,-0.089522389,-0.031014419
0.630816,-0.03588867,0.02636719,0.8276367,-0.009762483,0.177653011,0.144558081
0.640168,-0.03369141,0.03027344,0.8156738,0.013138517,0.093683611,-0.122617519
