time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,-0.03393555,0.02490234,0.8164063,-1.282443,-1.290076,-0.610687,20.92941
0.009578,-0.03198242,0.02758789,0.8095703,-1.030534,-1.099237,-0.610687,20.88235
0.018865,-0.02905273,0.02099609,0.826416,-1.099237,-1.198473,-0.480916,20.92941
0.028257,-0.03051758,0.02124023,0.8171387,-1.236641,-1.10687,-0.5725191,20.97647
0.037597,-0.03393555,0.01855469,0.8173828,-1.229008,-1.290076,-0.3435115,20.92941
0.046955,-0.0300293,0.02392578,0.8283691,-1.114504,-1.244275,-0.6564885,20.88235
0.056355,-0.03173828,0.02246094,0.8156738,-1.152672,-1.061069,-0.6030535,20.83529
0.065691,-0.03417969,0.01782227,0.8215332,-1.21374,-1.206107,-0.5877862,21.02353
0.07497701,-0.02905273,0.02734375,0.8200684,-1.351145,-1.167939,-0.3969466,20.92941
0.08432199,-0.03076172,0.02416992,0.8220215,-1.167939,-0.9312977,-0.5038168,20.92941
0.100094,-0.02856445,0.02832031,0.8222656,-1.053435,-0.9465649,-0.4503817,20.92941
0.109642,-0.03735352,0.02539063,0.8139648,-1.099237,-1.091603,-0.7633588,20.97647
0.119004,-0.03295898,0.02172852,0.8222656,-1.129771,-1.374046,-0.3740458,20.97647
0.128346,-0.03417969,0.02880859,0.8205566,-1.022901,-1.053435,-0.4351145,20.92941
0.137678,-0.03735352,0.02441406,0.8222656,-1.145038,-0.961832,-0.610687,20.92941
0.146947,-0.03344727,0.02148438,0.8205566,-1.251908,-1.519084,-0.5343512,20.88235
0.156308,-0.03417969,0.02832031,0.8120117,-1.29771,-1.312977,-0.5725191,20.92941
0.165617,-0.03466797,0.02319336,0.8183594,-0.9923664,-1.038168,-0.7099237,20.92941
0.174905,-0.02929688,0.02661133,0.8322754,-1.274809,-1.137405,-0.5877862,20.83529
0.18418,-0.03173828,0.02392578,0.8200684,-1.183206,-1.183206,-0.519084,20.88235
0.19946,-0.03295898,0.02514648,0.8190918,-1.236641,-1.122137,-0.5496183,20.97647
